"freq_bin","magnitude"
9.22562835973e-05,133.16159568
9.26194973122e-05,439.248919749
9.29827110272e-05,695.274270065
9.33459247421e-05,334.157561075
9.37091384571e-05,443.85367275
9.4072352172e-05,207.489061359
9.4435565887e-05,263.311525923
9.47987796019e-05,299.08354056
9.51619933169e-05,584.409233191
9.55252070318e-05,805.6753202
9.58884207468e-05,582.092057139
9.62516344617e-05,190.529889681
9.66148481767e-05,334.902700208
9.69780618916e-05,515.131397188
9.73412756066e-05,486.239914343
9.77044893215e-05,622.439369758
9.80677030365e-05,225.820957336
9.84309167514e-05,788.54144237
9.87941304664e-05,395.806636874
9.91573441813e-05,415.973227297
9.95205578963e-05,805.683268008
9.98837716112e-05,225.282730669
0.000100246985326,320.817175294
0.000100610199041,479.278252183
0.000100973412756,397.697140162
0.000101336626471,287.32381726
0.000101699840186,619.954573037
0.000102063053901,253.171375488
0.000102426267616,405.125034881
0.000102789481331,634.334702321
0.000103152695046,464.134769741
